number	filename	ID	season	year	cave	label	nonatec	tag
4	'IMG_0445.JPG'	CAL12-0150	june	2012	C12	CAL12-0150	NA	NA
5	'IMG_0461.JPG'	CAL12-0160	june	2012	C12	CAL12-0160	NA	NA
6	'IMG_0514.JPG'	NA	june	2012	C12	NA	NA	NA
7	'IMG_0516.JPG'	CAL12-0199	june	2012	C12	CAL12-0199	NA	NA
8	'IMG_0517.JPG'	CAL12-0200	june	2012	C12	CAL12-0200	NA	NA
9	'IMG_0518.JPG'	CAL12-0201	june	2012	C12	CAL12-0201	NA	NA
10	'IMG_0521.JPG'	CAL12-0202	june	2012	C12	CAL12-0202	NA	NA
11	'IMG_0523.JPG'	CAL12-0203	june	2012	C12	CAL12-0203	NA	NA
12	'IMG_0524.JPG'	CAL12-0204	june	2012	C12	CAL12-0204	NA	NA
13	'IMG_0525.JPG'	CAL12-0205	june	2012	C12	CAL12-0205	NA	NA
14	'IMG_0526.JPG'	CAL12-0206	june	2012	C12	CAL12-0206	NA	NA
15	'IMG_0527.JPG'	CAL12-0207	june	2012	C12	CAL12-0207	NA	NA
16	'IMG_0795.JPG'	CAL12-0451	june	2012	C12	CAL12-0451	NA	NA
1	'IMG_0625.JPG'	CAL12-0298	june	2012	C17	CAL12-0298	NA	NA
2	'IMG_0626.JPG'	CAL12-0299	june	2012	C17	CAL12-0299	NA	NA
3	'IMG_0627.JPG'	CAL12-0300	june	2012	C17	CAL12-0300	NA	NA
4	'IMG_0629.JPG'	CAL12-0301	june	2012	C17	CAL12-0301	NA	NA
5	'IMG_0630.JPG'	CAL12-0302	june	2012	C17	CAL12-0302	NA	NA
6	'IMG_0631.JPG'	CAL12-0303	june	2012	C17	CAL12-0303	NA	NA
7	'IMG_0632.JPG'	CAL12-0304	june	2012	C17	CAL12-0304	NA	NA
1	'IMG_0633.JPG'	CAL12-0305	june	2012	C17b	CAL12-0305	NA	NA
2	'IMG_0634.JPG'	CAL12-0306	june	2012	C17b	CAL12-0306	NA	NA
3	'IMG_0635.JPG'	CAL12-0307	june	2012	C17b	CAL12-0307	NA	NA
