"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"	"date"	"codedate"
"5633"	"36"	"IMG_9868.JPG"	"897875"	"august"	"2016"	"C22"	"CAL16-2999"	"2746112"	"897875"	"2016-2-august"	10
"6105"	"18"	"IMG_2547.JPG"	"897875"	"june"	"2017"	"C22"	"CAL16-2999"	"2746112"	"897875"	"2017-1-june"	11
"5635"	"2"	"IMG_0101.JPG"	"981930"	"august"	"2016"	"C23"	"CAL16-3037"	"5132800"	"981930"	"2016-2-august"	10
"6111"	"1"	"IMG_2269.JPG"	"981930"	"june"	"2017"	"C23"	"CAL16-3037"	"5132800"	"981930"	"2017-1-june"	11
"6574"	"6"	"IMG_3279.JPG"	"981930"	"august"	"2017"	"C23"	"CAL16-3037"	"5132800"	"981930"	"2017-2-august"	12
"4588"	"8"	"IMG_7326.JPG"	"897843"	"august"	"2015"	"C24"	"CAL15-2686"	"6001664"	"897843"	"2015-2-august"	8
"5653"	"5"	"IMG_0098.JPG"	"897843"	"august"	"2016"	"C24"	"CAL15-2686"	"6001664"	"897843"	"2016-2-august"	10
"5162"	"8"	"IMG_5595.jpg"	"897890"	"june"	"2016"	"C24"	"CAL16-2842"	"1667200"	"897890"	"2016-1-june"	9
"5652"	"4"	"IMG_0096.JPG"	"897890"	"august"	"2016"	"C24"	"CAL16-2842"	"1667200"	"897890"	"2016-2-august"	10
"6126"	"10"	"IMG_2555.JPG"	"897890"	"june"	"2017"	"C24"	"CAL16-2842"	"1667200"	"897890"	"2017-1-june"	11
"6578"	"3"	"IMG_3276.JPG"	"897890"	"august"	"2017"	"C24"	"CAL16-2842"	"1667200"	"897890"	"2017-2-august"	12
"4630"	"24"	"IMG_7035.JPG"	"158521"	"august"	"2015"	"C25"	"CAL15-2584"	"3072256"	"158521"	"2015-2-august"	8
"5240"	"72"	"IMG_9233.JPG"	"158521"	"june"	"2016"	"C25"	"CAL15-2584"	"3072256"	"158521"	"2016-1-june"	9
"6176"	"49"	"IMG_2111.JPG"	"158521"	"june"	"2017"	"C25"	"CAL15-2584"	"3072256"	"158521"	"2017-1-june"	11
"4669"	"63"	"IMG_7074.JPG"	"897966"	"august"	"2015"	"C25"	"CAL15-2602"	"9126400"	"897966"	"2015-2-august"	8
"5657"	"3"	"IMG_0137.JPG"	"897966"	"august"	"2016"	"C25"	"CAL15-2602"	"9126400"	"897966"	"2016-2-august"	10
"6203"	"76"	"IMG_2453.JPG"	"897966"	"june"	"2017"	"C25"	"CAL15-2602"	"9126400"	"897966"	"2017-1-june"	11
"4677"	"71"	"IMG_7082.JPG"	"158506"	"august"	"2015"	"C25"	"CAL15-2606"	"2868096"	"158506"	"2015-2-august"	8
"5298"	"130"	"IMG_9295.JPG"	"158506"	"june"	"2016"	"C25"	"CAL15-2606"	"2868096"	"158506"	"2016-1-june"	9
"5761"	"107"	"IMG_9730.JPG"	"158506"	"august"	"2016"	"C25"	"CAL15-2606"	"2868096"	"158506"	"2016-2-august"	10
"6233"	"106"	"IMG_2489.JPG"	"158506"	"june"	"2017"	"C25"	"CAL15-2606"	"2868096"	"158506"	"2017-1-june"	11
"6587"	"8"	"IMG_2933.JPG"	"158506"	"august"	"2017"	"C25"	"CAL15-2606"	"2868096"	"158506"	"2017-2-august"	12
"4749"	"143"	"IMG_7563.JPG"	"655325"	"august"	"2015"	"C25"	"CAL15-2721"	"0717056"	"655325"	"2015-2-august"	8
"5197"	"29"	"IMG_5534.jpg"	"655325"	"june"	"2016"	"C25"	"CAL15-2721"	"0717056"	"655325"	"2016-1-june"	9
