"capt.ID" "season" "year" "visit" "cave" "length" "ID"
"202" "897996" "june" "2017" 1 "C10" 86 NA
"203" "897996" "august" "2017" 1 "C10" 98 NA
"204" "981895" "august" "2017" 2 "C10" 96 NA
"205" "1539963" "june" "2015" 2 "C10" 64 NA
"206" "2232064" "august" "2016" 2 "C10" 47 NA
"207" "2465920" "august" "2016" 1 "C10" 58 NA
"208" "2494208" "august" "2015" NA "C10" 63 NA
"209" "4299136" "june" "2017" 1 "C10" 49 NA
"210" "4ED5E5" "june" "2013" 1 "C1" 111 NA
"211" "4299136" "june" "2017" 2 "C10" 51 NA
"212" "4299136" "august" "2017" 1 "C10" 63 NA
"213" "9555968" "june" "2017" 1 "C10" 63.5 NA
"214" "9620480" "august" "2016" 1 "C10" 55 NA
"215" "182C34" "june" "2014" 1 "C10" 129 NA
"216" "182C34" "august" "2014" 1 "C10" 128 NA
"217" "182C34" "june" "2015" 2 "C10" 127 NA
"218" "183CB4" "august" "2015" NA "C10" 121.5 NA
"219" "4EDF07" "june" "2014" 1 "C10" 115 NA
"220" "4EDF07" "august" "2012" 1 "C10" 110 NA
"221" "4EDF32" "august" "2015" NA "C10" 119 NA
"222" "4EDF32" "june" "2016" 2 "C10" 127 NA
"223" "4EDF32" "june" "2017" 1 "C10" 139 NA
"224" "4EDF5A" "august" "2014" 1 "C10" 88 NA
"225" "4EDF5A" "june" "2014" 1 "C10" 82 NA
"226" "4EDF5A" "august" "2012" 1 "C10" 68 NA
"227" "4EE071" "june" "2015" 1 "C10" 109.5 NA
"228" "4EE4C7" "august" "2015" NA "C10" 113 NA
"229" "4EE4C7" "august" "2014" 1 "C10" 110 NA
"230" "4EE5ED" "june" "2015" 1 "C10" 125 NA
"231" "4EE5ED" "august" "2012" 1 "C10" 105 NA
"232" "4EE5ED" "august" "2015" NA "C10" 126.5 NA
"233" "4EE5ED" "june" "2014" 2 "C10" 122 NA
"234" "4EE5ED" "august" "2014" 1 "C10" 126 NA
"235" "4EE707" "june" "2014" 1 "C10" 104 NA
